run_idx,scheduler_mode,scheduling_policy_value,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total,phase,tokens_scheduled,active_requests,padding_waste_tokens,padding_waste_bytes_est,padding_waste_pct
0,continuous,32.0,4.0,2,-1.0,70,819.0947379989666,830.7281919987872,2,11.633453999820631,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,71,830.7281919987872,842.3299239989319,2,11.601732000144693,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,72,842.3299239989319,853.882556998542,2,11.552632999610069,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,73,853.882556998542,865.4443789982906,2,11.561821999748645,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,74,865.4443789982906,877.2167329984768,2,11.77235400018617,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,75,877.2167329984768,890.3910529984387,2,13.174319999961881,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,76,890.3910529984387,903.7044219985546,2,13.313369000115927,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,77,903.7044219985546,915.3774449987395,2,11.673023000184912,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,78,915.3774449987395,927.1434169986605,2,11.765971999921021,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,79,927.1434169986605,939.0671749983994,2,11.923757999738882,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,80,939.0671749983994,950.687844998356,2,11.62066999995659,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,81,950.687844998356,962.31267399844,2,11.624829000083992,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,82,962.31267399844,973.9547979984309,2,11.642123999990872,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,83,973.9547979984309,985.5072999985168,2,11.552502000085951,271,67,2,decode,2,1,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,84,985.5072999985168,991.551333998359,1,6.044033999842213,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,85,991.551333998359,1003.3866909984681,1,11.83535700010907,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,86,1003.3866909984681,1014.9863999986337,1,11.599709000165603,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,87,1014.9863999986337,1026.80019699892,1,11.813797000286286,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,88,1026.80019699892,1038.7680299986641,1,11.967832999744132,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,89,1038.7680299986641,1051.082152998788,1,12.3141230001238,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,90,1051.082152998788,1063.1458259990723,1,12.063673000284325,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,91,1063.1458259990723,1075.8317779991557,1,12.685952000083489,470,92,30,prefill,30,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,92,1075.8317779991557,1086.6329729992685,1,10.801195000112784,271,57,1,decode,1,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,93,1086.6329729992685,1099.5806549990448,1,12.94768199977625,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,94,1099.5806549990448,1112.5476769993838,1,12.967022000339057,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,95,1112.5476769993838,1126.0378749993833,1,13.49019799999951,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,96,1126.0378749993833,1139.2041209996933,1,13.166246000309911,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,97,1139.2041209996933,1151.7358419996526,1,12.531720999959362,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,98,1151.7358419996526,1164.6410289995401,1,12.905186999887519,470,92,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,99,1164.6410289995401,1178.038268999444,1,13.397239999903832,470,92,24,prefill,24,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,100,1178.038268999444,1189.9270889994114,2,11.888819999967382,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,101,1189.9270889994114,1201.8794589994286,2,11.952370000017254,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,102,1201.8794589994286,1213.8481029992363,2,11.968643999807682,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,103,1213.8481029992363,1225.6338809993395,2,11.785778000103164,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,104,1225.6338809993395,1237.6004889993055,2,11.966607999966072,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,105,1237.6004889993055,1249.6685099990827,2,12.068020999777218,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,106,1249.6685099990827,1261.8377659991893,2,12.169256000106543,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,107,1261.8377659991893,1273.552027999358,2,11.714262000168674,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,108,1273.552027999358,1285.5754359993625,2,12.023408000004565,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,109,1285.5754359993625,1297.2791089991915,2,11.703672999828996,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,110,1297.2791089991915,1309.0435029994296,2,11.764394000238099,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,111,1309.0435029994296,1320.6928089994108,2,11.649305999981152,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,112,1320.6928089994108,1332.621222999478,2,11.928414000067278,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,113,1332.621222999478,1344.5785449998766,2,11.957322000398563,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,114,1344.5785449998766,1356.3512499999888,2,11.772705000112182,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,115,1356.3512499999888,1368.3951799998795,2,12.043929999890679,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,116,1368.3951799998795,1379.9934329999815,2,11.598253000101977,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,117,1379.9934329999815,1391.6482059998998,2,11.65477299991835,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,118,1391.6482059998998,1403.4871559997555,2,11.838949999855686,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,119,1403.4871559997555,1415.5909129995052,2,12.103756999749749,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,120,1415.5909129995052,1427.8899389996695,2,12.299026000164304,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,121,1427.8899389996695,1439.5041409998157,2,11.614202000146179,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,122,1439.5041409998157,1451.5747479999845,2,12.07060700016882,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,123,1451.5747479999845,1463.5035360001893,2,11.928788000204804,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,124,1463.5035360001893,1475.2136100000826,2,11.710073999893211,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,125,1475.2136100000826,1486.9662979999703,2,11.752687999887712,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,126,1486.9662979999703,1499.1490819998035,2,12.182783999833191,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,127,1499.1490819998035,1511.426465999648,2,12.27738399984446,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,128,1511.426465999648,1523.4965449999436,2,12.070079000295664,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,129,1523.4965449999436,1535.6764989996918,2,12.17995399974825,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,130,1535.6764989996918,1547.5310919996446,2,11.854592999952729,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,131,1547.5310919996446,1559.7017259997301,2,12.170634000085556,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,132,1559.7017259997301,1572.2408089995952,2,12.539082999865059,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,133,1572.2408089995952,1584.259517999726,2,12.018709000130912,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,134,1584.259517999726,1596.088693999718,2,11.829175999992003,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,135,1596.088693999718,1608.1912109998484,2,12.10251700013032,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,136,1608.1912109998484,1620.1718739998796,2,11.9806630000312,470,92,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,137,1620.1718739998796,1631.9539559995064,2,11.782081999626826,470,92,2,decode,2,1,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,138,1631.9539559995064,1637.894829999368,1,5.940873999861651,159,16,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,139,1637.894829999368,1649.5493239990537,1,11.654493999685656,159,16,32,prefill,32,2,0,0,0.0
