run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,request_id,batch_id,prompt_len,max_new_tokens,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,service_time_ms,latency_ms
2,36.0,4,20.0,143,36,128,32,3717.2709339246617,4893.25337398488,5029.205182982441,1175.9824400602188,135.95180899756087,1311.9342490577797
2,36.0,4,20.0,144,36,128,32,3717.413004038115,4893.25337398488,5029.205182982441,1175.8403699467653,135.95180899756087,1311.7921789443262
2,36.0,4,20.0,145,36,128,32,3727.770174029442,4893.25337398488,5029.205182982441,1165.4831999554385,135.95180899756087,1301.4350089529994
2,36.0,4,20.0,146,37,128,32,3749.0814266035645,5029.205182982441,5165.674960980614,1280.1237563788768,136.4697779981725,1416.5935343770493
2,36.0,4,20.0,147,37,128,32,3755.6950729731607,5029.205182982441,5165.674960980614,1273.5101100092807,136.4697779981725,1409.9798880074532
2,36.0,4,20.0,148,37,128,32,3759.542959731215,5029.205182982441,5165.674960980614,1269.6622232512264,136.4697779981725,1406.1320012493989
2,36.0,4,20.0,149,37,128,32,3765.326276075399,5029.205182982441,5165.674960980614,1263.8789069070422,136.4697779981725,1400.3486849052147
2,36.0,4,20.0,150,38,128,32,3765.7643481604778,5165.674960980614,5300.072199981078,1399.910612820136,134.39723900046374,1534.3078518205998
2,36.0,4,20.0,151,38,128,32,3769.3350906292017,5165.674960980614,5300.072199981078,1396.3398703514122,134.39723900046374,1530.737109351876
2,36.0,4,20.0,152,38,128,32,3783.1282823395204,5165.674960980614,5300.072199981078,1382.5466786410934,134.39723900046374,1516.9439176415572
2,36.0,4,20.0,153,38,128,32,3802.4621089886064,5165.674960980614,5300.072199981078,1363.2128519920075,134.39723900046374,1497.6100909924712
2,36.0,4,20.0,154,39,128,32,3830.7074424408174,5300.072199981078,5434.547865980239,1469.3647575402601,134.47566599916172,1603.8404235394219
2,36.0,4,20.0,155,39,128,32,3840.9395408447645,5300.072199981078,5434.547865980239,1459.1326591363131,134.47566599916172,1593.6083251354748
2,36.0,4,20.0,156,39,128,32,3844.750888043092,5300.072199981078,5434.547865980239,1455.3213119379857,134.47566599916172,1589.7969779371474
2,36.0,4,20.0,157,39,128,32,3914.9715422156496,5300.072199981078,5434.547865980239,1385.100657765428,134.47566599916172,1519.5763237645897
2,36.0,4,20.0,158,40,128,32,3942.731098995994,5434.547865980239,5570.744893982483,1491.816766984245,136.19702800224331,1628.0137949864884
2,36.0,4,20.0,159,40,128,32,3974.283816482475,5434.547865980239,5570.744893982483,1460.2640494977645,136.19702800224331,1596.4610775000078
2,36.0,4,20.0,160,40,128,32,4006.731765388523,5434.547865980239,5570.744893982483,1427.8161005917163,136.19702800224331,1564.0131285939597
2,36.0,4,20.0,161,40,128,32,4017.519495868597,5434.547865980239,5570.744893982483,1417.0283701116423,136.19702800224331,1553.2253981138856
2,36.0,4,20.0,162,41,128,32,4042.5388879003103,5570.744893982483,5709.617406981597,1528.2060060821723,138.8725129991144,1667.0785190812867
2,36.0,4,20.0,163,41,128,32,4053.2022123170896,5570.744893982483,5709.617406981597,1517.542681665393,138.8725129991144,1656.4151946645075
