run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total
2,20.0,4,0.0,11,1491.8641650037898,1626.9780760048889,4,135.11391100109904,128,32,128
2,20.0,4,0.0,12,1626.9780760048889,1761.5447600055631,4,134.5666840006743,128,32,128
2,20.0,4,0.0,13,1761.5447600055631,1898.843962004321,3,137.29920199875778,128,32,96
2,20.0,4,0.0,14,1898.843962004321,2037.0513420029965,3,138.2073799986756,128,32,96
2,20.0,4,0.0,15,2037.0513420029965,2173.199945002125,4,136.14860299912834,128,32,128
2,20.0,4,0.0,16,2173.199945002125,2308.5993519980548,2,135.3994069959299,128,32,64
2,20.0,4,0.0,17,2308.5993519980548,2442.9357119997803,2,134.33636000172555,128,32,64
2,20.0,4,0.0,18,2442.9357119997803,2576.3600820000647,4,133.4243700002844,128,32,128
2,20.0,4,0.0,19,2576.3600820000647,2710.102752998864,4,133.74267099879944,128,32,128
2,20.0,4,0.0,20,2710.102752998864,2844.446077001521,1,134.34332400265703,128,32,32
2,20.0,4,0.0,21,2848.5239078054633,2982.8787678052663,1,134.354859999803,128,32,32
2,20.0,4,0.0,22,2982.8787678052663,3116.4363098060107,4,133.55754200074443,128,32,128
2,20.0,4,0.0,23,3116.4363098060107,3250.091105807803,4,133.65479600179242,128,32,128
2,20.0,4,0.0,24,3250.091105807803,3383.812395806706,4,133.72128999890265,128,32,128
2,20.0,4,0.0,25,3383.812395806706,3517.516803804972,4,133.7044079982661,128,32,128
2,20.0,4,0.0,26,3517.516803804972,3650.5794558052344,4,133.06265200026246,128,32,128
2,20.0,4,0.0,27,3650.5794558052344,3785.613536805647,4,135.0340810004127,128,32,128
2,20.0,4,0.0,28,3785.613536805647,3922.7156288052697,2,137.10209199962264,128,32,64
2,20.0,4,0.0,29,3922.7156288052697,4059.072406806115,1,136.35677800084522,128,32,32
2,20.0,4,0.0,30,4059.072406806115,4195.508323806314,3,136.43591700019897,128,32,96
2,20.0,4,0.0,31,4195.508323806314,4329.422805805769,4,133.91448199945444,128,32,128
2,20.0,4,0.0,32,4329.422805805769,4462.758910804985,4,133.33610499921633,128,32,128
2,20.0,4,0.0,33,4462.758910804985,4596.866112804526,3,134.10720199954085,128,32,96
2,20.0,4,0.0,34,4596.866112804526,4730.873223803463,1,134.0071109989367,128,32,32
2,20.0,4,0.0,35,4730.873223803463,4864.944377799509,3,134.07115399604663,128,32,96
2,20.0,4,0.0,36,4864.944377799509,5001.331081800379,3,136.38670400086994,128,32,96
2,20.0,4,0.0,37,5001.331081800379,5135.258713801739,1,133.9276320013596,128,32,32
2,20.0,4,0.0,38,5135.258713801739,5269.034787798808,3,133.77607399706903,128,32,96
2,20.0,4,0.0,39,5269.034787798808,5402.669334797827,3,133.63454699901922,128,32,96
2,20.0,4,0.0,40,5402.669334797827,5535.729547798872,4,133.06021300104476,128,32,128
2,20.0,4,0.0,41,5535.729547798872,5669.1965318014245,4,133.46698400255264,128,32,128
2,20.0,4,0.0,42,5669.1965318014245,5802.936511801852,4,133.73998000042775,128,32,128
2,20.0,4,0.0,43,5802.936511801852,5936.734282802752,1,133.79777100089996,128,32,32
2,20.0,4,0.0,44,5936.734282802752,6070.727994804691,3,133.99371200193855,128,32,96
2,20.0,4,0.0,45,6070.727994804691,6204.478779806812,1,133.75078500212112,128,32,32
2,20.0,4,0.0,46,6204.478779806812,6338.296342806678,1,133.8175629998659,128,32,32
2,20.0,4,0.0,47,6338.296342806678,6473.279419801691,2,134.9830769950131,128,32,64
2,20.0,4,0.0,48,6473.279419801691,6608.302442799903,2,135.02302299821167,128,32,64
2,20.0,4,0.0,49,6608.302442799903,6744.509157799292,3,136.20671499938908,128,32,96
2,20.0,4,0.0,50,6744.509157799292,6879.1825837989,4,134.6734259996083,128,32,128
2,20.0,4,0.0,51,6879.1825837989,7013.0214208011585,4,133.83883700225851,128,32,128
2,20.0,4,0.0,52,7013.0214208011585,7148.7855777996065,4,135.76415699844802,128,32,128
2,20.0,4,0.0,53,7148.7855777996065,7284.208645799516,4,135.4230679999091,128,32,128
2,20.0,4,0.0,54,7284.208645799516,7418.460771799835,4,134.25212600031955,128,32,128
2,20.0,4,0.0,55,7418.460771799835,7553.434821797999,3,134.97404999816354,128,32,96
2,20.0,4,0.0,56,7553.434821797999,7687.286398800132,4,133.85157700213313,128,32,128
2,20.0,4,0.0,57,7687.286398800132,7821.081670797901,4,133.7952719977693,128,32,128
2,20.0,4,0.0,58,7821.081670797901,7954.873293796516,2,133.7916229986149,128,32,64
2,20.0,4,0.0,59,7954.873293796516,8089.028173798431,1,134.15488000191544,128,32,32
2,20.0,4,0.0,60,8089.028173798431,8222.148082795718,2,133.11990899728698,128,32,64
2,20.0,4,0.0,61,8222.148082795718,8355.119036794384,4,132.9709539986652,128,32,128
2,20.0,4,0.0,62,8355.119036794384,8488.61239279089,3,133.49335599650658,128,32,96
2,20.0,4,0.0,63,8488.61239279089,8621.889488791601,4,133.27709600071103,128,32,128
2,20.0,4,0.0,64,8621.889488791601,8757.15505479642,2,135.26556600481854,128,32,64
2,20.0,4,0.0,65,8757.15505479642,8894.82170779778,2,137.66665300136083,128,32,64
2,20.0,4,0.0,66,8894.82170779778,9033.90789679819,3,139.08618900040892,128,32,96
2,20.0,4,0.0,67,9033.90789679819,9168.123128795776,4,134.21523199758667,128,32,128
0,20.0,4,10.0,0,10.0,143.7208360009754,1,133.7208360009754,128,32,32
0,20.0,4,10.0,1,143.7208360009754,276.6362990012203,4,132.91546300024493,128,32,128
0,20.0,4,10.0,2,276.6362990012203,409.73471600023913,2,133.0984169990188,128,32,64
0,20.0,4,10.0,3,409.73471600023913,542.8943270005766,4,133.15961100033746,128,32,128
0,20.0,4,10.0,4,542.8943270005766,676.0985209964565,4,133.2041939958799,128,32,128
0,20.0,4,10.0,5,676.0985209964565,810.2722989976974,4,134.17377800124086,128,32,128
0,20.0,4,10.0,6,810.2722989976974,944.567633998995,4,134.29533500129764,128,32,128
0,20.0,4,10.0,7,944.567633998995,1078.3589979989847,2,133.7913639999897,128,32,64
0,20.0,4,10.0,8,1078.3589979989847,1211.8658810002307,4,133.50688300124602,128,32,128
